PrId	QuantS	Date1
int	double	text
1	1	15/02/2007
8	1	16/02/2007
9	1	17/02/2007
2	1	16/02/2007
9	2	17/02/2007
9	2	16/02/2007
9	2	15/02/2007
2	2	18/02/2007
7	2	17/02/2007
3	2	18/02/2007
9	2	17/02/2007
5	2	18/02/2007
8	3	17/02/2007
7	3	18/02/2007
1	3	17/02/2007
7	3	15/02/2007
4	3	16/02/2007
9	3	18/02/2007
5	3	18/02/2007
6	3	17/02/2007
3	3	16/02/2007
4	3	16/02/2007
6	3	15/02/2007
2	4	16/02/2007
5	4	15/02/2007
2	4	16/02/2007
2	4	17/02/2007
1	4	16/02/2007
7	4	15/02/2007
8	4	15/02/2007
2	4	17/02/2007
9	4	18/02/2007
8	4	16/02/2007
9	4	17/02/2007
9	4	18/02/2007
9	5	16/02/2007
3	5	17/02/2007
9	5	17/02/2007
4	5	15/02/2007
8	5	17/02/2007
7	5	16/02/2007
7	5	16/02/2007
5	5	16/02/2007
6	5	15/02/2007
3	5	15/02/2007
7	5	15/02/2007
7	5	17/02/2007
1	5	18/02/2007
4	5	17/02/2007
8	5	17/02/2007
3	5	18/02/2007
3	6	16/02/2007
9	6	18/02/2007
4	6	17/02/2007
7	6	16/02/2007
1	6	16/02/2007
5	6	15/02/2007
5	6	15/02/2007
2	6	16/02/2007
9	6	16/02/2007
6	7	16/02/2007
5	7	18/02/2007
9	7	16/02/2007
5	7	18/02/2007
7	7	16/02/2007
5	7	16/02/2007
2	7	16/02/2007
2	7	15/02/2007
9	7	16/02/2007
5	7	15/02/2007
3	7	15/02/2007
2	8	15/02/2007
5	8	17/02/2007
5	8	16/02/2007
5	8	18/02/2007
9	8	15/02/2007
5	8	17/02/2007
7	8	18/02/2007
8	8	18/02/2007
3	8	15/02/2007
4	8	16/02/2007
9	8	16/02/2007
2	8	18/02/2007
5	9	17/02/2007
8	9	18/02/2007
6	9	16/02/2007
3	9	15/02/2007
6	9	17/02/2007
7	9	18/02/2007
8	9	15/02/2007
9	9	15/02/2007
2	9	16/02/2007
1	9	15/02/2007
